계좌명,자산군,위험도,구분,종목명,티커,수량,매입단가,매입금액,배율,현재가,거래량,전일종가,전일대비(%),거래대금,시가총액,52주 최고,최고대비(%),52주 최저,PER,EPS
메인 계좌,ETF,안전,지수,미국 전체 지수,VTI,,,,,375.62,192402,377.6,-0.52,72270039.24,307436815049,385.12,-0.02466763606,310.4,#N/A,#N/A
메인 계좌,ETF,안전,배당,배당성장주,VIG,,,,,238.61,59563,240.11,-0.62,14212327.43,#N/A,247.45,-0.03572438877,210.01,#N/A,#N/A
메인 계좌,ETF,안전,배당,배당가치주,SCHD,,,,,34.12,1296129,34.41,-0.84,44223921.48,#N/A,35.31,-0.03370150099,26.33,#N/A,#N/A
메인 계좌,채권,안전,채권,미국 종합채권(BND),BND,,,,,71.7,5617597,71.89,-0.26,402781704.9,#N/A,75.23,-0.04692277017,71.65,#N/A,#N/A
메인 계좌,채권,안전,채권,미국 종합채권(AGG),AGG,,,,,96.67,302819,96.9,-0.24,29273512.73,57042017040,101.46,-0.04721072344,96.62,#N/A,#N/A
메인 계좌,ETF,주의,지수,미국 소형주,IWM,,,,,291.11,1478377,294.67,-1.21,430370328.5,81764368228,305.18,-0.04610393866,228.44,#N/A,#N/A
메인 계좌,ETF,주의,지수,나스닥100,QQQ,,,,1,716.15,13097930,718.36,-0.31,9380082570,279692320419,748.63,-0.04338591828,555.6,#N/A,#N/A
메인 계좌,레버리지ETF,위험,지수,나스닥100 2배,QLD,,,,2,89.96,516390,90.53,-0.63,46454444.4,3418479965,101.19,-0.1109793458,56.6,#N/A,#N/A
메인 계좌,레버리지ETF,위험,지수,나스닥100 3배,TQQQ,201,62.49,,3,71.49,25386800,72.16,-0.93,1814902332,#N/A,88.09,-0.1884436372,37.32,#N/A,#N/A
메인 계좌,ETF,안전,배당,나스닥100 커버드콜·배당,JEPQ,,,,0.75,59.76,2107592,59.85,-0.16,125949697.9,#N/A,61.72,-0.03175631886,53.51,#N/A,#N/A
메인 계좌,ETF,안전,지수,S&P500,SPY,,,,1,762.01,2418416,765.96,-0.52,1842857176,687790920623,779.37,-0.02227440112,629.28,#N/A,#N/A
메인 계좌,ETF,안전,지수,S&P500,VOO,,,,1,700.61,486818,704.07,-0.49,341069559,#N/A,716.39,-0.02202710814,578.46,#N/A,#N/A
메인 계좌,ETF,안전,지수,S&P500,IVV,,,,1,765.81,241484,769.2,-0.44,184930862,478784257311,783.09,-0.02206642915,632.14,#N/A,#N/A
메인 계좌,레버리지ETF,위험,지수,S&P500 2배,SSO,,,,2,69.31,224807,70.01,-1,15581373.17,3109999799,72.8,-0.04793956044,48.63,#N/A,#N/A
메인 계좌,레버리지ETF,위험,지수,S&P500 3배(SPXL),SPXL,,,,3,281.09,163148,285.44,-1.52,45859271.32,2777592193,303.18,-0.07286100666,168.04,#N/A,#N/A
메인 계좌,레버리지ETF,위험,지수,S&P500 3배(UPRO),UPRO,,,,3,147.14,154885,149.3,-1.45,22789778.9,#N/A,158.63,-0.07243270504,88.15,#N/A,#N/A
메인 계좌,ETF,안전,배당,S&P500 커버드콜·배당,JEPI,,,,0.75,56.54,205825,56.87,-0.58,11637345.5,#N/A,59.9,-0.05609348915,55.1,#N/A,#N/A
메인 계좌,ETF,안전,지수,다우존스30,DIA,,,,1,523.8,361164,528.03,-0.8,189177703.2,42869289068,546.75,-0.04197530864,450.44,#N/A,#N/A
